ПриватБанк;6.200;7.000
Райффайзен Банк Аваль;6.200;6.900
Укрсоцбанк;6.200;7.000
Кредобанк;6.250;7.300
Юнекс Банк;6.520;6.870
Укргазбанк;5.000;7.000
ВТБ Банк;5.390;7.140
Первый Инвестиционный банк;6.200;6.700
Экспресс-Банк;6.130;6.840
ВиЭс Банк;6.550;6.960
Идея Банк;6.150;6.950
Укрэксимбанк;6.610;7.170
ОКСИ Банк;6.550;7.040
Львов;6.700;7.000
Креди Агриколь Банк;6.500;7.000
Апекс-банк;5.900;6.900
Конкорд;6.370;6.970
